,Unnamed: 0,Dates,Lastnames,Texts,Links,Counts,Rank,Type,Travel_Places,Travel_Start_Date,Travel_End_Date,Link_Content,Topics,Meet_countries,content
0,0,21-Dec-20,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
1,1,21-Dec-20,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
2,2,21-Dec-20,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
3,3,21-Dec-20,Reeker,"1:30 p.m.Ambassador Reeker has lunch with Cypriot Ambassador to the United States Marios Lysiotis, in Washington, D.C.",None,1,4,TBD, ,,, ,,,
4,4,15-Jan-21,Pompeo,"Secretary Pompeo attends meetings and briefings, at the Department of State.",None,1,1,Meeting, ,,, ,, ; Domestic,
5,5,15-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
6,6,15-Jan-21,Barsa,"9:45 a.m. Acting Deputy Administrator Barsa delivers remarks at USAID virtual event, “Countering Trafficking Persons and the Journey to Self Reliance.”",None,1,4,TBD, ,,, ,,,
7,7,15-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
8,8,15-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
9,9,14-Jan-21,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
10,10,14-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
11,11,14-Jan-21,Barsa,"9:00 a.m. Acting Deputy Administrator Barsa delivers remarks at the Center for Strategic and International Studies virtual event, “USAID Economic Growth Policy Launch” .",<https://www.csis.org/events/online-event-usaid-economic-growth-policy-launch>,1,4,TBD, ,,, , ; security ; econ,,
12,12,14-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
13,13,14-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
14,14,14-Jan-21,Cooper,"8:00 a.m. Assistant Secretary Cooper virtually delivers remarks at the U.S.-Egypt Defense Resourcing Conference, from the Department of State.",None,1,4,TBD, ,,, ,,,
15,15,13-Jan-21,Pompeo,Secretary Pompeo has no public appointments.,None,1,1,TBD, ,,, ,,,
16,16,13-Jan-21,Biegun,"Deputy Secretary Biegun attends meetings and briefings, at the Department of State.",None,1,2,Meeting, ,,, ,, ; Domestic,
17,17,13-Jan-21,Barsa,10:00 a.m. Acting Deputy Administrator Barsa delivers remarks at the virtual Energy Resilience Global Development Alliance USAID/Jamaica Signing Ceremony & Webinar.,<https://us02web.zoom.us/meeting/register/tZEvcO6qrD0tGNFGogFmFimhubrvTduKj9Hz>,1,4,TBD, ,,, , ; climate,,
18,18,13-Jan-21,Hale,"Under Secretary Hale attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
19,19,13-Jan-21,Krach,"Under Secretary Krach attends meetings and briefings, at the Department of State.",None,1,3,Meeting, ,,, ,, ; Domestic,
