,Unnamed: 0,Dates,Lastnames,Texts,Links,Counts,Rank,Type,Travel_Places,Travel_Start_Date,Travel_End_Date,html
0,0,17-Oct-22,Blinken,"9:00 a.m. LOCAL Secretary Blinken visits the SLAC National Accelerator Laboratory with Speaker of the House Nancy Pelosi and House Member Anna Eshoo, in Menlo Park, California.",None,1,1,TBD, ,,,
1,1,17-Oct-22,Blinken,"10:45 a.m. LOCAL Secretary Blinken and 66th Secretary of State Condoleezza Rice have a conversation on the evolution and importance of technology, diplomacy, and national security, in Stanford, California.",<https://www.state.gov/secretary-blinken-participates-in-a-conversation-with-hoover-institution-director-and-66th-secretary-of-state-condoleezza-rice/>,1,1,TBD, ,,,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Secretary of State Antony J. Blinken will participate in a conversation on the evolution and importance of technology, diplomacy, and national security with Hoover Institution Director and 66<sup>th</sup>&nbsp;Secretary of State Condoleezza Rice on Monday, October 17, 2022 at 1:45 p.m. EDT / 10:45 a.m. PDT at the Hoover Institution in Stanford, CA.</p>;;;;<p>The event will be open press and live streamed on&nbsp;<a title=""Original URL: https://lnks.gd/l/eyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDAsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMjEwMTQuNjUxMjY2NzEiLCJ1cmwiOiJodHRwOi8vd3d3LnN0YXRlLmdvdi8ifQ.AB8XWsoYcjkEn211KN5BbIAl4HyB75y63JIZUlWwoFk/s/2576317770/br/145927717697-l. Click or tap if you trust this link."" href=""https://www.state.gov/"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""Verified"" data-linkindex=""0"">www.state.gov</a>&nbsp;and&nbsp;<a class=""external-link"" href=""https://www.youtube.com/statedept"" target=""_BLANK"" rel=""noopener""><span class=""external-link-title"">www.youtube.com/statedept</span><span class=""icon-external"">&nbsp;</span></a>.</p>;;;;<p>For additional information and to RSVP, please contact Jeff Marschner at&nbsp;jmarsch@stanford.edu.</p>;;;;<p><input type=""hidden"" data-filter=""111001000100""></p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
2,2,17-Oct-22,Blinken,"11:50 a.m. LOCAL Secretary Blinken participates in a university recruitment event in Stanford, California.",None,1,1,TBD, ,,,
3,3,17-Oct-22,Blinken,"1:10 p.m. LOCAL Secretary Blinken holds a press gaggle in Stanford, California.",None,1,1,TBD, ,,,
4,4,17-Oct-22,Blinken,"2:00 p.m. LOCAL Secretary Blinken visits Applied Materials Maydan Technology Center in Sunnyvale, California.",None,1,1,TBD, ,,,
5,5,17-Oct-22,Sherman,Deputy Secretary Sherman attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
6,6,17-Oct-22,McKeon,Deputy Secretary McKeon attends meetings and briefings at the Department of State.,None,1,2,TBD, ,,,
7,7,17-Oct-22,Nuland,"Under Secretary Nuland is on travel from October 15-21, 2022.",None,1,3,TBD, ,,,
8,8,17-Oct-22,Zeya,Under Secretary Zeya attends meetings and briefings at the Department of State.,None,1,3,TBD, ,,,
9,9,17-Oct-22,Allen,"Senior Official Allen is on travel to Costa Rica and Miami from October 16-19, 2022.",<https://www.state.gov/senior-official-for-public-diplomacy-and-public-affairs-allen-travels-to-costa-rica-and-miami/>,1,3,Travel, ; Costa Rica,2022-11-16,2022-11-19,";;;;;;;;				;;;;						<script type=""text/javascript"">;;;;document.addEventListener(""DOMContentLoaded"", function(event) {;;;;			jQuery(document).ready(function(){;;;;			if (jQuery('p .watermark').length > 0 ) {;;;;;;;;				jQuery('p .watermark').parent().addClass('watermarked');;;;;;;;;				jQuery('p .watermark').parent().each( function() {;;;;					jQuery(this).children('img').attr('style', 'margin: 0 !important');;;;;					jQuery(this).children().wrapAll('<div class=""watermarked_image""></div>');;;;;				});;;;;;;;;				jQuery('.entry-content p.watermarked > div.watermarked_image > img').each( function() {;;;;					if ( jQuery(this).hasClass('alignnone') ) {;;;;						jQuery(this).parent().addClass( 'alignnone' );;;;;					};;;;					if ( jQuery(this).hasClass('alignleft') ) {;;;;						jQuery(this).parent().addClass( 'alignleft' );;;;;					};;;;					if ( jQuery(this).hasClass('alignright') ) {;;;;						jQuery(this).parent().addClass( 'alignright' );;;;;					};;;;					if ( jQuery(this).hasClass('size-medium') ) {;;;;						jQuery(this).parent().addClass( 'has-size-medium' );;;;;					};;;;					if ( jQuery(this).hasClass('aligncenter') ) {;;;;						jQuery(this).parent().addClass( 'aligncenter' );;;;;						jQuery(this).parent().children().wrapAll('<div class=""wm_centered""></div>');;;;;					};;;;				});;;;;			};;;;		});;;;;		});;;;;		</script>;;;;		<p>Senior Official for Public Diplomacy and Public Affairs Liz Allen will travel to San José, Costa Rica, and Miami, Florida, from October 16-19, 2022. &nbsp;Her trip underscores the United States’ strategic commitment to freedom of expression, to addressing critical gaps in the approach to countering state-sponsored propaganda and disinformation/misinformation worldwide, and to public diplomacy as a foundational component of U.S. foreign policy.</p>;;;;<p>In San José, Senior Official Allen will give remarks and meet with participants to mark the formal expansion of the&nbsp;<a href=""https://lnks.gd/l/eyJhbGciOiJIUzI1NiJ9.eyJidWxsZXRpbl9saW5rX2lkIjoxMDAsInVyaSI6ImJwMjpjbGljayIsImJ1bGxldGluX2lkIjoiMjAyMjEwMTYuNjUyMDI0NDEiLCJ1cmwiOiJodHRwczovL2Rjbmdsb2JhbC5uZXQvIn0.GYGoltd95yUqKsCvgbfymBMo9LPV0Qk6p1wdOcEgN8g/s/1250718950/br/146005592024-l"">Digital Communications Network (DCN)</a>&nbsp;to the Americas. &nbsp;This launch builds upon the work of the DCN in Europe and Africa which, over the last seven years, has created a global network that develops and shares digital content and resources to provide accurate and authentic reporting, strengthen independent journalism, support civil society, and advance democratic values.&nbsp; Senior Official Allen will also meet with Costa Rican government officials, alumni of U.S. exchange programs, and journalists while in San José.</p>;;;;<p>In Miami, Senior Official Allen will meet with U.S. government officials at U.S. Southern Command.&nbsp; At Florida International University (FIU) – and following last week’s signing of the State Department’s Memorandum of Understanding with the Hispanic Association of Colleges and Universities, of which FIU is a member – she will meet with university administrators and Gilman Scholars.</p>;;;;<p>Follow along on Twitter at @UnderSecPD.</p>;;;;;;;;				;;;;				;;;;;;;;	;;;;	;;;;			"
